,Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,Term ID,English term,Description,Sanskrit (IAST),Sanskrit
175,966,1003,ed-10.6,kapajavisarpah,kaphajavisarpaḥ,कफजविसर्पः,,"the disorder is characterized by śītakaḥ [chills], śītajvaraḥ [fever with chills], gauravam [heaviness], nidrā [sleep], tandrā [drowsiness/lassitude], arōcakam [tastelessness], madhurāsyatvam [sweet taste in mouth], āsyōpalēpaḥ [sticky feel in mouth], niṣṭhīvikā [sputum/expectoration], chardiḥ [vomiting], ālasyam [lethargy], staimityam [a sensation of being covered with wet clothes], agnināśaḥ [loss of agni (digestive power)], daurbalyam [weakness], śvayathumān avakāśaḥ [affected area of body with swelling over it], pāṇḍu-avakāśaḥ [affected area of body with pallor over it], nātiraktāvakāśaḥ [affected area of body without much redness on it], snēhānvitāvakāśaḥ [area of body with unctuousness], suptyanvitāvakāśaḥ [affected area of body with numbness], stambhānvitāvakāśaḥ [affected area of body with stiffness], gauravānvitāvakāśaḥ [area of body with heaviness], alpavēdanāvakāśaḥ [affected area of body with mild pain], kr̥cchrapākīsphōṭaḥ [eruption which is difficult to rippen], cirakārīsphōṭaḥ/aśīghrapākaḥ [eruption which is late to rippen], bahalatvagupalēpayuktasphōṭaḥ [eruption covered with thick skin], śvētasphōṭaḥ [whitish colored eruption], pāṇḍusphōṭaḥ [blisters with pallor], prabhinnē śvētamāsrāvaḥ [whitish discharge after burst (abscess/eruption)], prabhinnē picchilamāsrāvaḥ [sticky discharge after burst (abscess/eruption)], prabhinnē tantumadāśrāvaḥ [fibrous discharge after burst (abscess/eruption)], prabhinnē ghanamāśrāvaḥ [thick discharge after burst (abscess/eruption)], prabhinnē anubaddhamāśrāvaḥ [clotted discharge after burst (abscess/eruption)], prabhinnē snigdhamāśrāvaḥ [unctuousdischarge after burst (abscess/eruption)], ūrdhvakāyē gurusthirajālāvatataḥ [covered with thick and heavy netted appearance in upper body ..(ref needed for proper context)], snigdha-bahulatvak upalēpaḥ [covering of thick and unctuous skin], anuṣaṁgī [chronic (associated over a long period)], śvētanakham [white nails], śvētanayanam [white eyes], śvētavadanam [whitish face], śvētatvak [whitish skin], śvētamūtram [whitish urine], śvētavarcaḥ [whitish stool], mandaḥsaraṇam [slow (forward) movement], alparuk [mild pain], ugrakaṇḍū [excessive itching], kaṇḍūyutaḥ [associated with itching], snigdhaḥ [smooth/unctuous /oily], kaphajvara-samānaruk [constitutional features (or pain )as in a case of kaphaja fever], pakvabhinnē kaphavraṇōtpattiḥ [kapha dominant wound formation in rippened and ruptured (abscess)]",,ITA-5.60.4,"Erysipelas, spreading
cellulitis due to
vitiated kapha","A disorder characterized by some or all the following signs
and symptoms: chills; fever with chills; heaviness; sleep;
drowsiness/lassitude; loss of taste; sweet taste in mouth;
sticky feeling in mouth; sputum/expectoration; vomiting;
lethargy; sensation of being covered with a wet cloth; loss of
digestive power; weakness; swelling over affected area of
body; pallor over affected area of body; not much redness
over affected area of body; unctuousness over affected area
of body; numbness over affected area of body; stiffness over
affected area of body; heaviness over affected area of body;
mild pain over affected area of body; eruption ripening with
difficulty; late-ripening eruption; eruption covered with thick
skin; whitish-coloured eruption; blisters with pallor; whitish
discharge after bursting of abscess/eruption; fibrous
discharge after bursting of abscess/eruption; thick discharge
after bursting of abscess/eruption; clotted discharge after
bursting of abscess/eruption; unctuous discharge after
bursting of abscess/eruption; thick and heavy-netted covering
over upper body; thick and unctuous skin covering; chronic in
nature; white nails; white eyes; whitish face; whitish skin;
whitish urine; whitish stool; slow (forward) movement; mild
pain; excessive itching; associated with itching; smooth/
unctuous/oily; constitutional features as in kaphaja fever;
kapha-dominant wound formation in ripened and
ruptured abscess.",kaphajavisarpaḥ,्कफजवर्सपवाः
176,972,1009,ed-10.12,kshatajavisarpah,kṣatajavisarpaḥ,क्षतजविसर्पः,,"the disorder is characterized by śyāvaśōpham [grey colored oedema], lōhitaśōpham [red colored oedema], jvaraḥ [fever], dāhaḥ [burning sensation], pākam [inflammation/suppuration], kulatthasadr̥śaḥ sphōṭaḥ [kulattha seed like vescicles], asitasphōṭaḥ [blackish eruptions], rujā [pain]",,ITA-5.60.9,"Erysipelas, spreading
cellulitis due to trauma","A disorder characterized by some or all the following signs
and symptoms: grey-coloured oedema; red-coloured oedema;
fever; burning sensation; inflammation/suppuration; vesicles
resembling horse gram seeds; blackish eruptions; pain.",kṣatajavisarpaḥ,क्षतजवर्सपवाः
177,987,1024,sm01 (ed-13),slipadah,ślīpadaḥ,श्लीपदः,,"it is characterised by a disorder characterised by non-pitting swelling of legs, unilateral or bilateral, swollen glands in groin, may be associated with fever. this may be explained by: (a) vitiation of flesh, kapha and blood.",,ITA-5.51.1,Filariasis,"A disorder characterized by some or all the following signs
and symptoms: painful swelling associated with fever;
swelling usually affects the limbs; preponderantly the lower
limbs with an origin in the groin and spreading to legs.",ślīpadaḥ,श्लीपदः
178,988,1025,ed-13.1,vatajaslipadah,vātajaślīpadaḥ,वातजश्लीपदः,,"the disorder is characterized by kharaśōphaḥ [swelling rough on touch], kr̥ṣṇaśōphaḥ [black coloured swelling], paruṣaśōphaḥ [rough oedema], bahuśaḥ parisphuṭati [excessive cracks], rūkṣaḥ [rough swelling], tīvravēdanayutaḥ [severe pain], animittarujaḥ [pain appears without cause], bahuśa-jvaraḥ [frequent attacks of fever], paripōṭayutam [peeling of skin]",,ITA-5.51.2,"Filariasis due to
vitiated vāta","Filariasis characterized by swelling which is rough to touch;
black-coloured swelling; rough oedema; excessive cracks;
severe pain; onset of pain without cause; frequent attacks of
fever; peeling of skin.",vātajaślīpadaḥ,र्ातजश्लीपदः
179,989,1026,ed-13.2,pittajaslipadah,pittajaślīpadaḥ,पित्तजश्लीपदः,,"the disorder is characterized by pītāvabhāsaśōphaḥ/ pītasaṁkāśaśōphaḥ [yellowish coloured swelling], īṣata mr̥du śōphaḥ/ mr̥duśōphaḥ [soft swelling], jvaraḥ [fever], dāhaḥ [burning sensation]",,ITA-5.51.3,"Filariasis due to
vitiated pitta","Filariasis characterized by a yellowish-coloured swelling; soft
swelling; fever; burning sensation.",pittajaślīpadaḥ,वप्तजश्लीपदः
180,990,1027,ed-13.3,kapajaslipadah,kaphajaślīpadaḥ,कफजश्लीपदः,,"the disorder is characterized by śvētaśōphaḥ [whitish coloured swelling], snigdhāvabhāsaśōphaḥ/snigdhaḥ/snigdhavarṇaḥ [glossy swelling], mandavēdanā/ aruk [mild pain], bhārikama [heavy in nature], mahāgranthikam [huge swelling], kaṇṭakairupacitam [associated with thorn like projections], guruśōphaḥ [heavy swelling in the inguinal region and in the foot], māṁsāṁkuraiścitam [associated with muscular growths], pāṇḍuśōphaḥ [pale swelling in the inguinal region and in the foot], guruśōphaḥ [heavy swelling], sthiraśōphaḥ [hard swelling in the inguinal region and in the foot]",,ITA-5.51.4,"Filariasis due to
vitiated kapha","Filariasis characterized by a whitish-coloured swelling; glossy
swelling; mild pain; heavy in nature; huge swelling; associated
with thorn-like projections; heavy swelling in the inguinal
region and foot; associated with muscular growths; pale
swelling in the inguinal region and foot; heavy swelling; hard
swelling in the inguinal region and foot.",kaphajaślīpadaḥ,्कफजश्लीपदः
181,992,1029,ed-14,sitapittam,śītapittam,शीतपित्तम्,,"the disorder is characterized by varaṭīdaṣṭasaṁsthāna śōthaḥ [like that of sting of insect/wasp], kaṇḍūḥ [itching], tōdabahulaḥ [severe pricking type of pain], chardiḥ [vomiting], jvaraḥ [fever], vidāhaḥ [internal burning sensation], bahiḥ śōthaḥ [edematous lesions appear on the skin], vātādhikam [dominance of vātadōṣaḥ]",,ITA-5.59.22,"Vata-predominant
urticaria","A skin disease characterized by lesions resembling an insect/
wasp sting; itching; severe pricking type of pain; vomiting;
fever; internal burning sensation; oedematous lesions
appearing on skin; dominance of vata dosha.",śītapittam,शीतवप्तम्
182,994,1031,ed-15,udardah,udardaḥ,उदर्दः,,"the disorder is characterized by varaṭīdaṣṭasaṁsthāna śōthaḥ [like that of sting of insect/wasp], kaṇḍūḥ [itching], tōdabahulaḥ [severe pricking type of pain], chardiḥ [vomiting], jvaraḥ [fever], vidāhaḥ [internal burning sensation], bahiḥ śōthaḥ [edematous lesions appear on the skin], kaphādhikaḥ [dominance of kaphadōṣaḥ], utsaṁgaḥ [elevated lesions], rāgaḥ [redness/congestion], kaṇḍūḥ [itching], maṇḍalam [circular patches], vidāhaḥ [internal burning sensation]",,ITA-5.59.23,"Kapha-predominant
urticaria","A skin disease characterized by lesions resembling an insect/
wasp sting; itching; severe pricking type of pain; vomiting;
fever; internal burning sensation; oedematous lesions
appearing on the skin; dominance of kapha dosha; raised
lesions; redness/congestion; itching; circular patches; internal
burning sensation.",udardaḥ,उददःवा
183,995,1033,sm52 (ed-16),bagandarah,bhagandaraḥ,भगन्दरः,,"it is characterised by opening in the skin near the anus having communication with the rectum due to deep and severe ulcers of rectum, may be associated with pain, passing of fecal matter and gases through the track. this may be explained by: (a) injury, deranged digestive and metabolic factors leading to vitiation of skin, blood, muscle, fat tissue.",,ITA-5.56.1.1,Anal fistula,"Fistula of the ano-rectal region. An anorectal abscess formed
due to vitiated dosha or trauma, results in an abnormal tract
or tunnel (fistula) which breaks through the perineum, anus
and/or bladder regions, and discharges pus. This results in a
chronic nonhealing fistula.",bhagandaraḥ,भगनदिः
184,1010,1054,ed-20,dahah,dāhaḥ,दाहः,,the disorder is characterized by sarvāṅgīṇastīvraḥ santāpō dāhaḥ [severe burning sensation in all over body],,ITA-5.27.1,Burning sensation,"A disorder characterized by warmth amounting to a burning
sensation.",dāhaḥ,दािः
185,1011,1055,ed-20.1,raktajadahah,raktajadāhaḥ,रक्तजदाहः,,"the disorder is characterized by uṣyatē [warmth], tāmralōcanaḥ [coppery lusture with copper red eyes], tāmrābhaḥ [coppery lusture skin], tr̥ṣyatē [thirst], lōhāngagandha angē [emits iron like odour from the body], lōhagandha-vadanaḥ [emits iron like odour from the mouth]",,ITA-5.27.2,"Generalized burning
sensation due to
vitiated rakta","A disorder characterized by some or all the following signs
and symptoms: warmth; coppery lustre with copper-red eyes;
coppery lustre to skin; thirst; emitting iron-like odour from
body; emitting iron-like odour from mouth.",raktajadāhaḥ,ि्तजदािः
186,1015,1059,ed-20.5,dhatukshayajadahah,dhātukṣayajadāhaḥ,धातुक्षयजदाहः,,"the disorder is characterized by kriyāhīnaḥ [diminution of activities], kṣāmasvaraḥ [weak and feeble voice], tr̥ṣṇā [thirst], bhr̥śapīḍitaḥ [excessively distressed], mūrcchāḥ [syncope/attacks of swooning], sīdēt [malaise]",,ITA-5.27.6,"Generalized burning
sensation due to
diminution of
structural components","A disorder characterized by some or all the following signs
and symptoms: diminished activities; weak and feeble voice;
thirst; excessive distress; syncope or swooning; malaise.",dhātukṣayajadāhaḥ,धातुक्षयजदािः
187,1016,1060,ed-20.6,kshatajadahah,kṣatajadāhaḥ,क्षतजदाहः,,"the disorder is characterized by mūrcchā [syncope/attacks of swooning], pralāpa [excess talking/irrelevant speech/incoherent speech], tr̥ṣṇā [thirst], atyartha atyartha antardāhḥ [severe internal symptoms of burning]",,ITA-5.27.7,"Generalized burning
sensation due to
injury","A disorder characterized by some or all the following signs
and symptoms: syncope or swooning; excessive talking/
irrelevant speech/incoherent speech; thirst; severe internal
symptoms of burning.",kṣatajadāhaḥ,क्षतजदािः
188,1017,1061,ed-20.7 (sm01),marmabighatajadahah,marmābhighātajadāhaḥ,मर्माभिघातजदाहः,,,,ITA-5.27.8,"Generalized burning
sensation due to
injury to vulnerable
locations","A disorder characterized by a burning sensation due to injury
of a vulnerable point.",marmābhighātajadāhaḥ,ममावावभघातजदािः
189,1020,1064,sp72 (ee-2),arbudah,arbudaḥ,अर्बुदः,,"it is characterised by uncontrolled spreading of swellings associated with multiple constitutional symptoms like weight loss, severe exhaustion. this may be explained by: (a) involvement of all the three vitiated humours, seven elementary tissues.",,ITA-5.50.1,Tumour,"A disorder characterized by some or all the following signs
and symptoms: deep-rooted elevation of muscle; slowly
growing and nonsuppurating swelling; slightly painful swelling;
broad and deep-rooted swelling; round swelling;
fixed swelling.",arbudaḥ,अबुवादः
190,1028,1074,sm53 (ee-3),arsah,arśaḥ,अर्शः,,"it is characterised by swollen and inflamed veins in the rectum and anus, may be associated with itching, pain, discomfort and bleeding. this may be explained by: (a) decreased digestive and metabolic factors, vitation of vata, kapha, pitta affecting muscle, fat tissue.",,ITA-5.10.1,Haemorrhoids,"Vitiated dosha affecting the skin, flesh and fat and causing
sprout-like growths of flesh in various patterns in the
anal region.",arśaḥ,अशवाः
191,1050,1096,ee-4.1,vatajagranthih,vātajagranthiḥ,वातजग्रन्थिः,,"the disorder is characterized by āyamyatē/āyāmaḥ [feeling of stretching], vyathatē [distress], tōdaḥ [pricking pain], pratyasyatē [a feeling of being thrown away], kr̥tyatē [associated with cutting sensation], bhēdam ēti [a feeling of being torn down], kr̥ṣṇaḥ (granthiḥ)/asitaḥ [blackish swelling], amr̥duḥ (granthiḥ) [swelling which is not soft/hard swelling], bastirivātataḥ [distended like a basti/urinary bladder], bhinnaḥ sravēt accham asram [on bursting clear blood discharge], akasmāt hānivr̥ddhimān [abrupt increase and decrease in selling], mr̥duḥ (granthiḥ) [soft swelling]",,ITA-5.49.2,"Nodular swelling, cyst
due to vitiated vata","A disorder characterized by some or all the following signs
and symptoms: a feeling of stretching; distress; pricking pain;
a tearing type of pain associated with a cutting sensation;
sensation of rending; blackish swelling; hard swelling;
distended like the urinary bladder or basti; clear blood
discharge on bursting; swelling abruptly increasing and
decreasing; soft swelling.",vātajagranthiḥ,र्ातजग्रवनरः
192,1051,1097,ee-4.2,pittajagranthih,pittajagranthiḥ,पित्तजग्रन्थिः,,"the disorder is characterized by dāhaḥ (dandahyatē) [severe burning], dhūpyati [fuming sensation], cuṣyatē [sucking type of pain], pākaḥ (pāpacyatē) [inflammation/suppuration], prajvalanam [a feeling of being burnt up], rakta (varṇa) (granthiḥ) [reddish swelling], pīta (varṇa) (granthiḥ) [yellow swelling], atīvōṣṇāsra-srāvaḥ (bhinnē) [profuse, warm, and bloody discharge(on bursting)], drutaṁ pacyatē [quick suppuration]",,ITA-5.49.3,"Nodular swelling, cyst
due to vitiated pitta","A disorder characterized by some or all the following signs
and symptoms: severe burning; fuming sensation; sucking
type of pain; inflammation/suppuration; feeling of being burnt
up; reddish swelling; yellow swelling; profuse; warm and
bloody discharge; rapidly suppurating.",pittajagranthiḥ,वप्तजग्रवनरः
193,1052,1098,ee-4.3,kapajagranthih,kaphajagranthiḥ,कफजग्रन्थिः,,"the disorder is characterized by śītaḥ (sparśaḥ) granthiḥ [cold swelling], avivarṇa- granthiḥ [goat coloured swelling], alparujā granthiḥ [swelling with mild pain], atikaṇḍūyuta- granthiḥ/kaṇḍūmān [swelling with excessive itching], pāṣāṇavat saṁhananōpapannaḥ granthiḥ/ghanaḥ [swelling has the consistency of a stone], cirābhivr̥ddhaḥ [increases over a long period of time], śukla-ghana-pūya-srāvaḥ (bhinnē) [discharges white and thick pus on bursting], nīrujaḥ [painless micturition], savarṇaḥ [body coloured swelling]",,ITA-5.49.4,"Nodular swelling, cyst
due to vitiated kapha","A disorder characterized by some or all the following signs
and symptoms: cold swelling; goat-coloured swelling; swelling
with mild pain; swelling with excessive itching; swelling of
stony consistency; increasing over a long period of time;
discharging thick white pus on bursting; painless micturition;
body-coloured swelling.",kaphajagranthiḥ,्कफजग्रवनरः
194,1063,1109,sr53 (ef-1),medovahasrotodushtih,medovahasrotoduṣṭiḥ,मेदोवहस्रोतोदुष्टिः,,"it is characterized by perspiration, oiliness of the body, dryness of the palate, non-pitting oedema and thirst. this may be explained by derangement of channels (functional or anatomical or both) fatty tissue elements.",,ITA-5.5.8,"Vitiation of channels
carrying medas","A disorder characterized by some or all the following signs
and symptoms: excessive collection of tartar on the teeth,
palate, tongue; burning sensation in hands and feet; sticky
sweating; thirst and breathlessness.",medovahasrotoduṣṭiḥ,मेदोर्िस्ोतोदवु ष्ः
195,1064,1110,sm8d (ef-2),pramehah,pramehaḥ,प्रमेहः,,it is characterised by frequent and excessive urination. this may be explained by: (a) vitiation of kapha along with watery part of the primary structural components of the body.,,ITA-5.41.1,Polyuria disorders,"Group of disorders characterized by increased urinary
quantity and frequency with or without turbidity.",pramehaḥ,प्रमेिः
196,1066,1112,ef-2.2 (sm8d),kapajapramehah,kaphajapramehaḥ,कफजप्रमेहः,,,,ITA-5.41.2,"Polyuria disorder due
to vitiated kapha",,kaphajapramehaḥ,्कफजप्रमेिः
197,1067,1113,ef-2.2.1 (sm8d),udakamehah,udakamehaḥ,उदकमेहः,,,,ITA-5.41.3,"Polyuria disorder with
urine resembling
water (hydruria)","A disorder characterized by some or all the following signs
and symptoms: transparent clear urination; profuse urination;
whitish/colourless urination; cold urination; painless
micturition; occasionally turbid or sticky urine.",udakamehaḥ,उद्कमेिः
198,1068,1114,ef-2.2.2 (sm8d),ikshuvalikamehah,ikṣuvālikāmehaḥ,इक्षुवालिकामेहः,,,,ITA-5.41.4,"Polyuria disorder with
urine resembling
sugar-cane juice
(glycosuria)","A disorder characterized by some or all the following signs
and symptoms: excessive sweet urination; elimination of cold
urine; elimination of slightly sticky urine; turbid urination;
elimination of urine resembling sugarcane juice.",ikṣuvālikāmehaḥ,इक्षुर्ावल्कामेिः
199,1069,1115,ef-2.2.3 (sm8d),sandramehah,sāndramehaḥ,सान्द्रमेहः,,,,ITA-5.41.5,"Polyuria disorder with
high density
urine (chyluria)","A disorder characterized by urine which when kept overnight
undergoes sedimentation; turbid urination; thick coarse urine.",sāndramehaḥ,सानद्रमेिः
200,1070,1116,ef-2.2.4 (sm8d),sandraprasadamehah,sāndraprasādamehaḥ,सान्द्रप्रसादमेहः,,,note: also classifed under #san@sonitajanyarogah#[ed-2],ITA-5.41.6,"Polyuria disorder with
dense and clear
urine (belluria)","A disorder characterized by urine separating on sedimentation
into a transparent and a turbid moiety.",sāndraprasādamehaḥ,सानद्रप्रसादमेिः
201,1071,1117,ef-2.2.5 (sm8d),suklamehah,śuklamehaḥ,शुक्लमेहः,,,,ITA-5.41.7,"Polyuria disorder with
excessive
whitish urine","A disorder characterized by elimination of floury whitish urine;
increased urinary frequency.",śuklamehaḥ,शुकलमेिः
202,1072,1118,ef-2.2.6 (sm8d),sukramehah,śukramehaḥ,शुक्रमेहः,,,,ITA-5.41.8,"Polyuria disorder with
semen-mixed urine","A disorder characterized by urine resembling semen; semen-
mixed urination; frequent micturition.",śukramehaḥ,शुरिमेिः
203,1073,1119,ef-2.2.7 (sm8d),sitamehah,śītamehaḥ,शीतमेहः,,,,ITA-5.41.9,"Polyuria disorder with
excessive or cold
urine (phosphaturia)","A disorder characterized by some or all the following signs
and symptoms: excessively cold urination; excessively sweet
urination; profuse urination.",śītamehaḥ,शीतमेिः
204,1074,1120,ef-2.2.8 (sm8d),sanairmehah,śanairmehaḥ,शनैर्मेहः,,,,ITA-5.41.10,"Polyuria disorder with
very slow voiding rate","A disorder characterized by some or all the following signs
and symptoms: urination with reduced flow; difficulty in
micturition/dysuria; slow elimination of urine; elimination of
mucus-mixed urine; elimination of slimy urine.",śanairmehaḥ,शिैमवेिः
205,1075,1121,ef-2.2.9 (sm8d),sikatamehah,sikatāmehaḥ,सिकतामेहः,,,,ITA-5.41.11,"Polyuria disorder with
gravel urine","A disorder characterized by minute gravel in urine; painful
micturition; passage of saliva-like urine containing shreds.",sikatāmehaḥ,वस्कतामेिः
206,1076,1122,ef-2.2.10 (sm8d),lalamehah,lālāmehaḥ,लालामेहः,,,,ITA-5.41.12,"Polyuria disorder with
urine similar in
consistency to saliva","A disorder characterized by passage of saliva-like urine
containing shreds; slimy urine.",lālāmehaḥ,लालामेिः
207,1077,1123,ef-2.2.11 (sm8d),suramehah,surāmehaḥ,सुरामेहः,,,,ITA-5.41.13,"Polyuria disorder with
urine resembling
arrack or spirituous
liquor","A disorder characterized by urine resembling arrack, an
alcoholic beverage that is distilled from fermented mash of
malted rice with toddy or molasses. In this event the upper
portion of the urine appears transparent and lower
portion turbid.",surāmehaḥ,सुिामेिः
208,1079,1125,ef-2.2.13 (sm8d),pishtamehah,piṣṭamehaḥ,पिष्टमेहः,,,,ITA-5.41.15,"Polyuria disorder with
urine resembling flour
mixed with water","A disorder characterized by floury white urination; bristling
during micturition; profuse urination; whitish urination.",piṣṭamehaḥ,वपष्मेिः
209,1080,1126,ef-2.2.14 (sm8d),penamehah,phenamehaḥ,फेनमेहः,,,,ITA-5.41.16,"Polyuria disorder with
urine associated with
froth","A disorder characterized by micturating in small quantities
rapidly; transparent clear urination; frothy micturition.",phenamehaḥ,फेिमेिः
210,1082,1128,ef-2.3.1 (sm8d),ksharamehah,kṣāramehaḥ,क्षारमेहः,,,,ITA-5.41.18,"Polyuria disorder with
urine resembling
alkaline water","A disorder characterized by some or all the following signs
and symptoms: urine resembling alkaline liquid by odour,
colour, taste and touch.",kṣāramehaḥ,क्षािमेिः
211,1084,1130,ef-2.3.3 (sm8d),nilamehah,nīlamehaḥ,नीलमेहः,,,,ITA-5.41.20,"Polyuria disorder with
bluish urine","A disorder characterized by passage of bluish urine; frothy
micturition; transparent; sour taste.",nīlamehaḥ,िीलमेिः
212,1086,1132,ef-2.3.5 (sm8d),ma~jjishthamehah,mañjiṣṭhāmehaḥ,मञ्जिष्ठामेहः,,,,ITA-5.41.22,"Polyuria disorder
with urine resembling
Rubia cordifolia
decoction","A disorder characterized by passage of urine resembling
Rubia cordifolia decoction; profuse urination; urine smelling
like raw flesh.",mañjiṣṭhāmehaḥ,मवञ्जष्ामेिः
213,1088,1134,ef-2.3.7 (sm8d),amlamehah,amlamehaḥ,अम्लमेहः,,,,ITA-5.41.24,"Polyuria disorder with
urine smelling and
tasting like acidic
substance","A disorder characterized by sour-smelling urine; sour-
tasting urine.",amlamehaḥ,अमलमेिः
214,1089,1135,ef-2.4 (sm8d),vatajapramehah,vātajapramehaḥ,वातजप्रमेहः,,,,ITA-5.41.25,"Polyuria disorder due
to vitiated vata",,vātajapramehaḥ,र्ातजप्रमेिः
215,1090,1136,ef-2.4.1 (sm8d),vasamehah,vasāmehaḥ,वसामेहः,,,,ITA-5.41.26,"Polyuria disorder with
urine resembling
muscle fat","A disorder characterized by recurrent passage of urine;
passage of urine having a fatty appearance; passage of
fat-mixed urine.",vasāmehaḥ,र्सामेिः
216,1091,1137,ef-2.4.2 (sm8d),majjamehah,majjāmehaḥ,मज्जामेहः,,,,ITA-5.41.27,"Polyuria disorder with
urine resembling
bone marrow","A disorder characterized by passage of urine mixed with bone
marrow; passage of urine resembling bone marrow; recurrent
passage of urine.",majjāmehaḥ,मज्ामेिः
217,1092,1138,ef-2.4.3 (sm8d),hastimehah,hastimehaḥ,हस्तिमेहः,,,,ITA-5.41.28,"Polyuria disorder with
uncontrolled passage
of urine; urinary
incontinence","A disorder characterized by some or all the following signs
and symptoms: urinary incontinence; described as passing
urine like an unrestrained elephant in rut; urine flow is weak
and obstructed but continuous in nature; occurring without
any voluntary effort from the patient; consistency of urine
slimy as if mixed with lymph.",hastimehaḥ,िवसतमेिः
218,1101,1147,sn04 (ef-2.5.6),sarshapika-pramehapidaka,sarṣapikā,सर्षपिका-प्रमेहपिडका,,it is characterised by mustard seed like boils in the penis. this may be explained by: (a) vitiated kapha and blood localising over the penis.,,ITA-5.58.16,"Boils resembling
white mustard
seeds on the
penis","A disorder characterized by some or all the following signs
and symptoms: boils resembling white mustard seeds;
eruptions resembling white mustard seeds in shape and size;
thick and firm lesion; mustard seed-sized boil.",sarṣapikā,सषवावप्का
219,1118,1164,sr5c (ef-5),svedavaha-srotodushti,svedavahasrotoduṣṭiḥ,स्वेदवह-स्रोतोदुष्टि,,"it is characterized by absence of perspiration, excess perspiration, excessive roughness, excessive smoothness, burning sensation all over the body and horripilation. this may be explained by derangement of channels (functional or anatomical or both) sweat.",,ITA-5.5.15,"Vitiation of channels
carrying sweat","A disorder characterized by some or all the following signs
and symptoms: complete lack of sweating. or excess
sweating; dryness or excess stickiness of skin; burning
sensation of limbs; horripilation.",svedavahasrotoduṣṭiḥ,सर्ेदर्िस्ोतोदुवष्ः
220,1120,1166,sr54 (eg-1),asthivahasrotadushtih,asthivahasrotoduṣṭiḥ,अस्थिवहस्रोतदुष्टिः,,"it is characterized by excess aggravation of vata, severe localized and, or generalised body pains, weight loss, extra growth of bone and teeth, deformities in nail and nail bed, deformities in hairs and moustache, splitting pain in bone and toothache. this may be explained by derangement of channels (functional or anatomical or both) enriching bone tissue elements.",,ITA-5.5.9,"Vitiation of channels
carrying bone","A disorder characterized by some or all the following signs
and symptoms: hypertrophy of bones and teeth or atrophy,
pain in the teeth, bones discoloration of the hair, head, body,
face, and nails.",asthivahasrotoduṣṭiḥ,अवसरर्िस्ोतोदवु ष्ः
221,1123,1169,sr55 (eh-1),majjavaha-srotodushtih,majjāvahasrotoduṣṭiḥ,मज्जावह-स्रोतोदुष्टिः,,"it is characterized by inability to perform sexual act, impotence, lack of sexual arousal, birth of diseased offspring, progeny, birth of impotent offspring, birth of offspring with reduced lifespan, birth of offspring with deformities, infertility, abortion, miscarriage, delayed ejaculation, blood tinged semen, no semen on ejaculation. this may be explained by derangement of channels (functional or anatomical or both) enriching seminal fluid.",,ITA-5.5.10,"Vitiation of channels
carrying bone marrow","A disorder characterized by some or all the following signs
and symptoms: pain in the joints, giddiness, fainting and
deep-seated wounds in the joint.",majjāvahasrotoduṣṭiḥ,मज्ार्िस्ोतोदवु ष्ः
222,1160,1206,ei-4 (sn00),sukarogah,śūkarogaḥ,शूकरोगः,,,,ITA-5.58.1,"Complications of due
to forced increase of
penile size","A group of disorders developing due to a forced increase in
the size of the penis using external measures.",śūkarogaḥ,शू्किोगः
223,1174,1221,sp90 (ei-4.13),vidradhih,vidradhiḥ,विद्रधिः,,"it is characterised by pain, swelling, redness of the affected part, discharge of the pus. this may be explained by: (a) aggravation of pittadosha affecting skin, fat, muscle tissue resulting in swelling and suppuration.",,ITA-5.52.1,Abscess,"A disorder characterized by some or all the following signs
and symptoms: a deep-seated swelling which is broad-based;
painful and round or else elongated, located in the bones and
affecting skin; blood; muscles and fat; with the gradual
production of excessively severe inflammatory swelling due to
vitiated dosha. Generally, the condition advances to an
open ulcer.",vidradhiḥ,वर्द्रवधः
224,1181,1228,sn30 (ei-5),upadamsah,upadaṃśaḥ,उपदंशः,,"it is characterised painful or burning micturition, discharge of pus in urine, also associated with urethral swelling. this may be explained by: (a) physical injury, unhygienic sexual practices affecting three dosha, blood separately or in combination all of them, leading to development of lesions on the genitals.",,ITA-5.57.1,"Sexually transmitted
penile inflammation","A disorder characterized by painful or burning micturition,
discharge of pus in urine, also associated with urethral
swelling e.g. gonorrhoea.",upadaṃśaḥ,उपदशं ः
225,1189,1236,sn01 (ei-6),vruddhih,vṛddhiḥ,वृद्धिः,,"it is characterised by accumulation of fluid in the scrotum, scrotal tissues. it may be associated with pain. this may be explained by: (a) increase of pitta, vata, kapha leading to laxity of muscles and accumulation of fluids.",,ITA-5.45.1,"Hydrocoele and
related disorders","A disorder characterized by penile and scrotal swelling;
roughness; dryness.",vṛddhiḥ,र्ृवद्ः
226,1191,1238,ei-6.2 (sn3y),vataja-vruddhih,vātaja-vṛddhiḥ,वातज-वृद्धिः,,,,ITA-5.45.2,"Hydrocoele due to
vata predominance","A disorder characterized by blackish blisters; breaking type of
pain; pricking pain; pulsating sensation.",vātaja-vṛddhiḥ,र्ातज-र्ृवद्ः
